Boid_ID,X_Position,Y_Position,X_Velocity,Y_Velocity
0,596.6441434653888,508.9062722781268,2.286610696136817,3.281982864719544
1,700.8961015497276,501.8603081070031,0.7852159628965527,3.9221723434357703
2,700.770259553576,501.91578544985015,0.5227485022853088,3.965694643231935
3,595.8447145056749,505.516460836744,1.3661891803087043,-3.75945835508354
4,700.6426521369993,501.9622178795606,0.2616076728743956,3.9914360104470226
5,700.5100180614694,502.00077155232105,-0.005616314291938501,3.9999960571247786
6,703.9775106496089,347.018821168659,-0.018044978700743463,0.6940376423373155
7,700.3689032200945,502.03163835710956,-0.2859930257830257,3.989762898870491
8,700.2373786310898,502.05102324362184,-0.5411529769544863,3.963225133087105
9,700.0910727733296,502.062836104287,-0.8224456878853684,3.9145348498229984
10,699.9521442874469,502.06427186188574,-1.0837081416371406,3.85039954598862
11,699.8139830438432,502.05641010886166,-1.3389851286960541,3.7692331879482874
12,699.6779814486024,502.03949288338805,-1.5857285408470971,3.672256117803187
13,772.956985978755,435.6447888813846,0.5963621695158471,3.9552941942124042
14,699.5422554507227,502.01336074674623,-1.8277045907778036,3.558018539700116
15,699.4073276606318,501.97785643315916,-2.0638427855146326,3.4264490302176105
16,699.2761439648483,501.93368570251147,-2.2886839114518835,3.280537448873478
17,699.140016160728,501.8772733820397,-2.517764341203184,3.1081928386388284
18,699.0150760395604,501.8148338988169,-2.722122541430344,2.9308785149570435
19,698.8947976451819,501.7441866894574,-2.9137737935157526,2.74042374099715
20,597.2980418441846,508.8980607139343,2.3003256707535495,3.2723847280648757
21,698.7784665011202,501.66477890693096,-3.0939319185928804,2.5352682862198583
22,698.6708736236437,501.58016028735705,-3.2548415806295745,2.3250819953293638
23,698.5642974791037,501.48407165495394,-3.4086998463089713,2.093027796703426
24,698.4703065872503,501.3867108050771,-3.53839696058358,1.865407984686697
25,645.501435310067,479.8035293816039,2.122552010305738,3.3903942194893903
26,698.3895806100459,501.2918043084673,-3.643390631278041,1.650970837996662
27,644.5220929492789,481.5448164228522,-2.5507926595461337,3.0811453727478626
28,698.297151755489,501.167840395888,-3.7575824740344146,1.3713402024404464
29,596.4613944539573,505.5884864737785,1.331204992262986,-3.7719879730155697
30,698.2222028224548,501.0502232111095,-3.8415780806111264,1.1145751883870965
31,698.1547768483641,500.9266833171917,-3.908618248040369,0.8501196333962839
32,698.094787839729,500.79626855275984,-3.958321778170868,0.5759242141620919
33,698.0448746178748,500.66440352967516,-3.9884063492977706,0.3043267863353985
34,698.0037789636999,500.52840585546966,-3.9998942070020638,0.029091799382810396
35,697.973836861945,500.39775327685794,-3.9934067260257313,-0.22957073100125797
36,697.9521448341841,500.2636636402394,-3.969741624099089,-0.49107172377884617
37,597.9832230146739,508.975849712657,2.2979826091070166,3.274030532576278
38,697.9387728688451,500.1217574765205,-3.9263273324891594,-0.7641686189242292
39,697.9351797870469,499.9756254154799,-3.8621742545750277,-1.040965910728026
40,697.9414005068938,499.8386928011754,-3.7847715388449465,-1.294412762123911
41,597.2476061454463,508.24434758378555,1.8019263607505362,3.571142868947185
42,697.9555826768718,499.7118679307469,-3.6983013031004477,-1.5239972019283798
43,697.9816335269088,499.5643747831961,-3.577376405644066,-1.7895189443929194
44,698.0125310592712,499.4410597164725,-3.4614360260558485,-2.0046098467090046
45,698.0582862545947,499.29776494747404,-3.3053162638514753,-2.252750406929033
46,698.1100524052075,499.16847311733585,-3.145987292787696,-2.470377289730931
47,698.1704559548033,499.04288510037117,-2.97222361333464,-2.6769174048401227
48,775.7736304426135,435.5363895499003,2.2931457753371336,3.2774200910248683
49,698.2389825691378,498.9220139982992,-2.785545362156076,-2.8706683952297203
